Pattern A,Pattern B,Similarity Score
Types and Classifications,Uncertain or Changing Attributions,0.5170595459324989
Types and Classifications,Production by Removal,0.0
Types and Classifications,Destruction ,0.5038270560420867
Types and Classifications,Cause of Destruction,0.5094215243430561
Types and Classifications,Other Specific Activities,0.5751847885812821
Types and Classifications,Dimensions,0.6039413480084876
Types and Classifications,Dimension Statement,0.5157888104675661
Types and Classifications,Dimension Display Labels,0.6374043021478051
Types and Classifications,Measurements of Dimensions,0.5699676771014345
Types and Classifications,Colors,0.6477702830854745
Types and Classifications,Shapes,0.5691363732600948
Types and Classifications,Materials,0.5327541706121631
Types and Classifications,Materials Statement,0.5050805501307732
Types and Classifications,Environmental conditions,0.6071375220162215
Types and Classifications,Parts,0.5880520089344043
Types and Classifications,Sides of an Object,0.6802290480539133
Types and Classifications,Description,0.5605997202977808
Types and Classifications,Depiction,0.0
Types and Classifications,Subject,0.663207729538141
Types and Classifications,Style Classification,0.6498667665954586
Types and Classifications,Other Classifications,0.5169608692631689
Types and Classifications,Objects Carrying Textual Works,0.4929512086575772
Types and Classifications,"Single Object, Multiple Works",0.3003744289216255
Types and Classifications,"Single Object, Single Textual and Visual Work",0.7330763262649351
Types and Classifications,Related Objects,0.7115424754280121
Types and Classifications,Ownership,0.6488999529059211
Types and Classifications,Custody,0.6826503520715941
Types and Classifications,Location,0.6513223278179593
Types and Classifications,Credit / Attribution Statement,0.6008249258044579
Types and Classifications,Rights Statement,0.628403756013563
Types and Classifications,RightsStatements.org Assertions,0.0
Types and Classifications,Digital Objects,0.29422632555211986
Types and Classifications,Digital Images,0.5530007182624244
Types and Classifications,Digital Surrogates,0.5877243180293369
Types and Classifications,Home Page,0.5575292263789083
Types and Classifications,Other Pages,0.433100470866148
Types and Classifications,IIIF Images,0.4244017060030942
Types and Classifications,IIIF Manifests,0.3666440271468318
Types and Classifications,Core Information,0.15304674940211868
Types and Classifications,Geospatial Location,0.19984000451985778
Types and Classifications,Geospatial Approximation,0.32215095010990447
Types and Classifications,"Buildings and ""Immovable"" Objects",0.4642263303505659
Types and Classifications,Types,0.387605519370234
Types and Classifications,Names,0.33281886167892377
Types and Classifications,Parts of Names,0.0
Types and Classifications,Identity,0.22781686615794766
Types and Classifications,Equivalent Resources,0.38867853640689015
Types and Classifications,Addresses,0.0
Types and Classifications,Birth and Death / Formation and Dissolution,0.302104977576546
Types and Classifications,Active Dates,0.3561168289801291
Types and Classifications,Biography,0.45681923654445505
Types and Classifications,Nationality,0.4603359148774615
Types and Classifications,Ethnicity,0.3415121283186662
Types and Classifications,Gender,0.4332015920371468
Types and Classifications,Digital Integration,0.37796209221071314
Types and Classifications,Organization Membership,0.4521837687488806
Types and Classifications,Provenance Event,0.4195570778051213
Types and Classifications,Classifications,0.5346635061455567
Types and Classifications,Relative Times,0.5108601240996502
Types and Classifications,"Object Acquisition
",0.5110276949073176
Types and Classifications,"Multiple Owners
",0.5805869527071441
Types and Classifications,Agents,0.41771144159143814
Types and Classifications,Exchange of Objects,0.39894239687720345
Types and Classifications,Payments,0.0
Types and Classifications,"Payment for Services
",0.5976205406504546
Types and Classifications,Loans,0.5074100782556941
Types and Classifications,"Institutional Ownership, Departmental Custody",0.5743502490148762
Types and Classifications,Loss,0.5373320773685324
Types and Classifications,Theft,0.4652387282177628
Types and Classifications,Sale of Stolen or Looted Objects,0.37856665187270533
Types and Classifications,Rights and their Acquisition,0.3535900555671512
Types and Classifications,Multiple Owners with Different Stakes,0.5702838134948282
Types and Classifications,Transfer of Shares,0.44839377730135793
Types and Classifications,Intellectual Property Rights,0.45759336657857447
Types and Classifications,Encounters,0.0
Types and Classifications,Promised Gift,0.26374177061227144
Types and Classifications,Commissions for Artwork,0.31573452903011867
Types and Classifications,Auction,0.38306840347590204
Types and Classifications,Auction of Lot,0.41045648497826154
Types and Classifications,Known Bid Amounts,0.3917101675208537
Types and Classifications,Set of Objects,0.3396557633882319
Types and Classifications,Pre-set Prices,0.41042424460708166
Types and Classifications,Purchase of Lot,0.4086162771835874
Types and Classifications,Lot Withdrawn,0.5848605266401035
Types and Classifications,Object Withdrawn from Lot,0.6257986012815456
Types and Classifications,Reserve Not Met,0.4823135367303651
Types and Classifications,Bought by Owner,0.6186666614180489
Types and Classifications,"Winner Unable to Pay
",0.5681985457297493
Types and Classifications,Auction Catalog,0.5181880926859227
Types and Classifications,Moving an Object,0.40918125265395944
Types and Classifications,Taking Inventory,0.43389514880455304
Types and Classifications,Object Ownership and Existence,0.2527030382191711
Types and Classifications,Core Features,0.691812243180503
Types and Classifications,Collections of Objects,0.5614075965117212
Types and Classifications,Departmental Collections,0.563117886104782
Types and Classifications,Other Uses,0.42253028697082373
Types and Classifications,Collection Specific Information,0.34879654554851247
Types and Classifications,Adding and Removing Resources,0.39740807895927444
Types and Classifications,Exhibition Concept,0.37183311107066325
Types and Classifications,Exhibition Activity,0.47080381333500093
Types and Classifications,Multiple Venues,0.3799158277043002
Types and Classifications,Objects,0.6941873664061126
Types and Classifications,Exhibition Provenance: Transfer of Custody,0.3755425260601748
Types and Classifications,Exhibition Provenance: Internal Moves,0.46033220446072587
Types and Classifications,Exhibition Specific Labels,0.5432216291470648
Types and Classifications,Depiction of the Object at the Exhibition,0.33883191352247055
Types of Types,Names and Identifiers for a Resource,0.39731211475143074
Types of Types,Identifiers,0.4246530174676905
Types of Types,Statements about a Resource,0.5216484098066358
Types of Types,Parts,0.5736000435167231
Types of Types,Membership,0.46232350612547723
Types of Types,Events and Activities,0.24506906193583083
Types of Types,Time Span Details,0.2177045025748061
Types of Types,Base Production Activity,0.5747610611221295
Types of Types,Techniques,0.6768374395057054
Types of Types,Classifications,0.5823853273680045
Types of Types,Multiple Artists,0.6809234383707932
Types of Types,Inspiration or Copies,0.7972493798477652
Types of Types,Reproduction from an Identifiable Source,0.48165917645408124
Types of Types,Attribution of a Group,0.5935838086278556
Types of Types,Uncertain or Changing Attributions,0.6259413758110611
Types of Types,Production by Removal,0.0
Types of Types,Destruction ,0.5841995853639469
Types of Types,Cause of Destruction,0.5882993562635855
Types of Types,Other Specific Activities,0.7003623232373359
Types of Types,Dimensions,0.7218277207687771
Types of Types,Dimension Statement,0.6388626998398105
