id,slug,url,json,recipe,topic,viewer,support,property
5,0005-image-service,https://iiif.io/api/cookbook/recipe/0005-image-service/,https://iiif.io/api/cookbook/recipe/0005-image-service/manifest.json,Support Deep Viewing with Basic Use of a IIIF Image Service,image,Annona,Yes,
5,0005-image-service,https://iiif.io/api/cookbook/recipe/0005-image-service/,https://iiif.io/api/cookbook/recipe/0005-image-service/manifest.json,Support Deep Viewing with Basic Use of a IIIF Image Service,image,Clover,Yes,
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,UV,Yes,label
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,UV,Yes,summary
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,UV,Yes,metadata
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,UV,Yes,requiredStatement
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,Mirador,Yes,label
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,Mirador,Yes,summary
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,Mirador,Yes,metadata
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,Mirador,Yes,requiredStatement
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,Annona,Yes,label
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,Annona,Yes,summary
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,Annona,Yes,metadata
6,0006-text-language,https://iiif.io/api/cookbook/recipe/0006-text-language/,https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json,Internationalization and Multi-language Values,basic,Annona,Yes,requiredStatement
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,UV,Yes,label
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,UV,Yes,summary
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,UV,Yes,metadata
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,UV,Yes,requiredStatement
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Mirador,Yes,label
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Mirador,Yes,summary
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Mirador,Yes,metadata
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Mirador,Yes,requiredStatement
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Annona,Yes,label
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Annona,Yes,summary
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Annona,Yes,metadata
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Annona,Yes,requiredStatement
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Clover,Yes,label
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Clover,Yes,summary
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Clover,Yes,metadata
7,0007-string-formats,https://iiif.io/api/cookbook/recipe/0007-string-formats/,https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json,Embedding HTML in descriptive properties,property,Clover,Yes,requiredStatement
8,0008-rights,https://iiif.io/api/cookbook/recipe/0008-rights/,https://iiif.io/api/cookbook/recipe/0008-rights/manifest.json,Rights statement,property,UV,Yes,rights
8,0008-rights,https://iiif.io/api/cookbook/recipe/0008-rights/,https://iiif.io/api/cookbook/recipe/0008-rights/manifest.json,Rights statement,property,UV,Yes,requiredStatement
8,0008-rights,https://iiif.io/api/cookbook/recipe/0008-rights/,https://iiif.io/api/cookbook/recipe/0008-rights/manifest.json,Rights statement,property,Mirador,Yes,rights
8,0008-rights,https://iiif.io/api/cookbook/recipe/0008-rights/,https://iiif.io/api/cookbook/recipe/0008-rights/manifest.json,Rights statement,property,Mirador,Yes,requiredStatement
8,0008-rights,https://iiif.io/api/cookbook/recipe/0008-rights/,https://iiif.io/api/cookbook/recipe/0008-rights/manifest.json,Rights statement,property,Annona,Yes,rights
8,0008-rights,https://iiif.io/api/cookbook/recipe/0008-rights/,https://iiif.io/api/cookbook/recipe/0008-rights/manifest.json,Rights statement,property,Annona,Yes,requiredStatement
8,0008-rights,https://iiif.io/api/cookbook/recipe/0008-rights/,https://iiif.io/api/cookbook/recipe/0008-rights/manifest.json,Rights statement,property,Clover,Yes,rights
8,0008-rights,https://iiif.io/api/cookbook/recipe/0008-rights/,https://iiif.io/api/cookbook/recipe/0008-rights/manifest.json,Rights statement,property,Clover,Yes,requiredStatement
9,0009-book-1,https://iiif.io/api/cookbook/recipe/0009-book-1/,https://iiif.io/api/cookbook/recipe/0009-book-1/manifest.json,Simple Manifest - Book,image,UV,Yes,
9,0009-book-1,https://iiif.io/api/cookbook/recipe/0009-book-1/,https://iiif.io/api/cookbook/recipe/0009-book-1/manifest.json,Simple Manifest - Book,image,Mirador,Yes,
9,0009-book-1,https://iiif.io/api/cookbook/recipe/0009-book-1/,https://iiif.io/api/cookbook/recipe/0009-book-1/manifest.json,Simple Manifest - Book,image,Annona,Yes,
9,0009-book-1,https://iiif.io/api/cookbook/recipe/0009-book-1/,https://iiif.io/api/cookbook/recipe/0009-book-1/manifest.json,Simple Manifest - Book,image,Clover,Yes,
9,0009-book-1,https://iiif.io/api/cookbook/recipe/0009-book-1/,https://iiif.io/api/cookbook/recipe/0009-book-1/manifest.json,Simple Manifest - Book,basic,UV,Yes,
9,0009-book-1,https://iiif.io/api/cookbook/recipe/0009-book-1/,https://iiif.io/api/cookbook/recipe/0009-book-1/manifest.json,Simple Manifest - Book,basic,Mirador,Yes,
9,0009-book-1,https://iiif.io/api/cookbook/recipe/0009-book-1/,https://iiif.io/api/cookbook/recipe/0009-book-1/manifest.json,Simple Manifest - Book,basic,Annona,Yes,
9,0009-book-1,https://iiif.io/api/cookbook/recipe/0009-book-1/,https://iiif.io/api/cookbook/recipe/0009-book-1/manifest.json,Simple Manifest - Book,basic,Clover,Yes,
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-rtl.json,Viewing direction and Its Effect on Navigation,image,UV,Yes,viewingDirection
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-ttb.json,Viewing direction and Its Effect on Navigation,image,UV,Yes,viewingDirection
