year,total_meetings,total_unique_participants,average_present,participants
2017,20,42,12.35,Jon Stroop; Jana; Rachel Di Cresce; Sian Meikle; Mark Matienzo; Sheila Rabun; Patrick Cuba; Jana Rajakumar; Robert Sanderson; Antoine Isaac; Regis Robineau; Shaun Ellis; Dave Beaudet; Eric James; Randy Stern; Drew Winget; Trey Pendragon; Martin Klein; Michael Appleby; Glen Robson; Drake Zabriskie; Doug Emery; Rashmi Singhal; David Newbury; Dickson Law; Johannes Baiter; Bruce Washburn; Karina Wratschko; Kate Lynch; Kat Thornton; Jason Ronallo; Jeff Mixter; Jeffrey Witt; Régis Robineau; Simeon Warner; Tom Crane; Matt McGrattan; Chip Goines; Julien A. Raemy; Nuno Freire; Ben Brumfield; Mel Mason
2018,22,35,8.73,Ed Silverton; Andy Irving; Sascha Adler; Mark Matienzo; Richard Palmer; Antoine Isaac; Robert Sanderson; Dave Beaudet; Eric James; Randy Stern; Drew Winget; Stefano Cossu; Jeff Steward; Michael Appleby; Glen Robson; Josh Hadro; Michael Bolton; Jack Reed; Rashmi Singhal; Tom Cramer; Dickson Law; Gary Geisler; Conor Sheehan; Bruce Washburn; Jason Ronallo; Jeff Mixter; Claire DeMarco; Julien A. Raemy; Simeon Warner; Tom Crane; Matt McGrattan; Régis Robineau; Nuno Freire; Ben Brumfield; Shaun Ellis
2019,18,26,7.78,Rafael Schwemmer; Patrick Cuba; Robert Sanderson; Antoine Isaac; Dave Beaudet; Eric James; Rosalie Lack; Michael Appleby; Glen Robson; Josh Hadro; Michael Bolton; Tom Cramer; Robin-Elise Call; Dave Collins; Kat Thornton; Jason Ronallo; Stuart Kenny; Jeff Mixter; Simeon Warner; Tom Crane; Matt McGrattan; Richard Higgins; Régis Robineau; Nuno Freire; Julien A. Raemy; Shaun Ellis
2020,15,20,8.2,Steffen Hankiewicz; Giada Di Trinca; Meg O’Hearn; Robert Sanderson; Antoine Isaac; Stefano Cossu; Michael Appleby; Glen Robson; Josh Hadro; Sanjin Muftic; Dawn Childress; Florian Alpers; Michelle; Jeff Mixter; Simeon Warner; Tom Crane; Matt McGrattan; Richard Higgins; Nuno Freire; Julien A. Raemy
2021,17,23,7.94,Stuart Lewis; Lauren Massari; Mark Baggett; Junaid Abdul Jabbar; Meg O’Hearn; Robert Sanderson; Antoine Isaac; Stefano Cossu; Michael Appleby; Glen Robson; Josh Hadro; Stace Maples; Dawn Childress; Jeff Mixter; Patrick Schmelmer; Simeon Warner; Tom Crane; Matt McGrattan; Richard Higgins; Nuno Freire; Julien A. Raemy; James Snell; Olli Lyytinen
2022,6,13,5.0,Jeff Mixter; Antoine Isaac; Glen Robson; Robert Sanderson; Anna Keller; Tom Crane; Matt McGrattan; Richard Higgins; Caitlin Perry; Michael Appleby; Nuno Freire; Julien A. Raemy; Josh Hadro
2023,3,7,4.67,Robert Sanderson; Antoine Isaac; Matt McGrattan; Richard Higgins; Michael Appleby; Glen Robson; Julien A. Raemy
