year,total_meetings,average_present,average_regrets,total_present
2019,26,19.0,2.92,59
2020,23,15.52,2.22,45
2021,25,14.0,3.0,57
2022,19,14.79,2.68,51
2023,18,14.11,2.28,63
2024,4,15.25,3.0,26
